Retailer,Scope,L1,L2,L3,L4,L5,L6,Count,Level,Category ID,Count Source,Node Type,Sub-categories,Has Deeper Levels,Name Source,Found In,URL,Notes
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Drinkware Accessories,Ice Cube Trays,,,12,4,ice-cube-trays,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/ice-cube-trays,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Drinkware Accessories,Lids,,,18,4,drinkware-lids,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/drinkware-lids,Scheels product taxonomy name: Drinkware Lids (Home & Yard > Drinkware > Drinkware Accessories > Drinkware Lids)
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Drinkware Accessories,Straws,,,10,4,drinkware-straws,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/drinkware-straws,Scheels product taxonomy name: Drinkware Straws (Home & Yard > Drinkware > Drinkware Accessories > Drinkware Straws)
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Flasks,,,,13,3,flasks,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/flasks,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Mugs & Cups,,,,71,3,mugs-cups,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/mugs-and-cups,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Pint Glasses,,,,181,3,pint-glasses,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/pint-glasses,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Shaker Bottles,,,,58,3,shaker-bottles,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/shaker-bottles,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Shot Glasses,,,,75,3,shot-glasses,"Scheels live, 25 Sep 2026",Category,0,No,Scheels product taxonomy,Product taxonomy (not in menu) + category page,https://www.scheels.com/c/shot-glasses,Live category page that the Scheels menu does not link to
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Tumblers,,,,804,3,tumblers,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/tumblers,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Water Bottles,,,,94,3,water-bottles,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/water-bottles,
