level,l1,l2,l3,l4,url
L4,Office Supplies,Folders & Filing,Shop now,Top Tab File Folders,https://www.walmart.com/browse/office-supplies/top-tab-file-folders/1229749_4464616_9115471_4106794
L3,Office Supplies,Folders & Filing,Expanding Folders,,https://www.walmart.com/browse/office-supplies/expanding-folders/1229749_4464616_8335537
L3,Office Supplies,Folders & Filing,Manila Folders,,https://www.walmart.com/browse/office-supplies/manila-folders/1229749_4464616_7923101
L3,Office Supplies,Folders & Filing,Pocket Folders,,https://www.walmart.com/browse/office-supplies/pocket-folders/1229749_4464616_8540888
L3,Office Supplies,Folders & Filing,Presentation Folders,,https://www.walmart.com/browse/office-supplies/presentation-folders/1229749_4464616_2993529
L2,Office Supplies,Markers and Highlighters,,,https://www.walmart.com/browse/office-supplies/markers-and-highlighters/1229749_9081741
L3,Office Supplies,Markers and Highlighters,Dry-erase markers,,https://www.walmart.com/browse/office-supplies/dry-erase-markers/1229749_9081741_3115238
L3,Office Supplies,Markers and Highlighters,Color Markers,,https://www.walmart.com/browse/office-supplies/color-markers/1229749_9081741_3725194
L3,Office Supplies,Markers and Highlighters,Highlighters,,https://www.walmart.com/browse/office-supplies/highlighters/1229749_9081741_5527408
L3,Office Supplies,Markers and Highlighters,Highlighters Multi-Color,,https://www.walmart.com/browse/office-supplies/highlighters-multi-color/1229749_9081741_4279697
L3,Office Supplies,Markers and Highlighters,Liquid Highlighters,,https://www.walmart.com/browse/office-supplies/liquid-highlighters/1229749_9081741_6695529
L3,Office Supplies,Markers and Highlighters,Magic Markers,,https://www.walmart.com/browse/office-supplies/magic-markers/1229749_9081741_8911842
L3,Office Supplies,Markers and Highlighters,Markers,,https://www.walmart.com/browse/office-supplies/markers/1229749_9081741_4078147
L3,Office Supplies,Markers and Highlighters,Mildliner Highlighters,,https://www.walmart.com/browse/office-supplies/mildliner-highlighters/1229749_9081741_7907154
L3,Office Supplies,Markers and Highlighters,Pastel Highlighters,,https://www.walmart.com/browse/office-supplies/pastel-highlighters/1229749_9081741_8840798
L3,Office Supplies,Markers and Highlighters,Permanent Markers,,https://www.walmart.com/browse/office-supplies/permanent-markers/1229749_9081741_3278193
L3,Office Supplies,Markers and Highlighters,Watercolor Markers,,https://www.walmart.com/browse/office-supplies/watercolor-markers/1229749_9081741_3735822
L3,Office Supplies,Markers and Highlighters,Window Markers,,https://www.walmart.com/browse/office-supplies/window-markers/1229749_9081741_5322552
L2,Office Supplies,Notebooks and Pads,,,https://www.walmart.com/browse/office-supplies/notebooks-pads/1229749_4796182
L3,Office Supplies,Notebooks and Pads,View all,,https://www.walmart.com/browse/office-supplies/rosmonde-notebooks/1229749_4796182_4390242
L3,Office Supplies,Notebooks and Pads,Shop Notebooks by Brand,,https://www.walmart.com/browse/office-supplies/shop-notebooks-by-brand/1229749_4796182_1044271
L3,Office Supplies,Notebooks and Pads,Composition Books,,https://www.walmart.com/browse/office-supplies/composition-notebooks/1229749_4796182_4411896
L3,Office Supplies,Notebooks and Pads,Customizable Notebooks,,https://www.walmart.com/browse/office-supplies/customizable-notebooks/1229749_4796182_9427134
L3,Office Supplies,Notebooks and Pads,Drawing Notebooks,,https://www.walmart.com/browse/office-supplies/drawing-notebooks/1229749_4796182_9359174
L3,Office Supplies,Notebooks and Pads,Fashion Notebooks,,https://www.walmart.com/browse/office-supplies/fashion-notebooks/1229749_4796182_2433078
L3,Office Supplies,Notebooks and Pads,Five Star Notebooks,,https://www.walmart.com/browse/office-supplies/five-star-notebooks/1229749_4796182_6487690
L3,Office Supplies,Notebooks and Pads,Graph Ruled Notebook,,https://www.walmart.com/browse/office-supplies/graph-ruled-notebook/1229749_4796182_2621243
L3,Office Supplies,Notebooks and Pads,Grid Notebook,,https://www.walmart.com/browse/office-supplies/grid-notebook/1229749_4796182_8188597
L3,Office Supplies,Notebooks and Pads,Moleskine Notebooks,,https://www.walmart.com/browse/office-supplies/moleskine-notebooks/1229749_4796182_6402625
L3,Office Supplies,Notebooks and Pads,Rocketbook,,https://www.walmart.com/browse/office-supplies/rocketbook-notebooks/1229749_4796182_7894066
L3,Office Supplies,Notebooks and Pads,Smart Notebooks,,https://www.walmart.com/browse/office-supplies/digital-notebooks/1229749_4796182_6222557
L3,Office Supplies,Notebooks and Pads,Steno Notebooks & Pads,,https://www.walmart.com/browse/office-supplies/steno-notebooks-pads/1229749_4796182_5344621
L3,Office Supplies,Notebooks and Pads,Tul Notebooks,,https://www.walmart.com/browse/office-supplies/tul-notebooks/1229749_4796182_5215561
L3,Office Supplies,Notebooks and Pads,1-Subject Spiral Notebooks,,https://www.walmart.com/browse/office-supplies/1-subject-spiral-notebooks/1229749_4796182_2714026_7232305
L3,Office Supplies,Notebooks and Pads,3-Subject Spiral Notebooks,,https://www.walmart.com/browse/office-supplies/3-subject-spiral-notebooks/1229749_4796182_2714026_8173909
L3,Office Supplies,Notebooks and Pads,5-Subject Spiral Notebooks,,https://www.walmart.com/browse/office-supplies/5-subject-spiral-notebooks/1229749_4796182_2714026_3633439
L3,Office Supplies,Notebooks and Pads,All Spiral Notebooks,,https://www.walmart.com/browse/office-supplies/all-spiral-notebooks/1229749_4796182_2714026_9639353
L2,Office Supplies,Paper,,,https://www.walmart.com/browse/office-supplies/paper/1229749_6562796
L3,Office Supplies,Paper,Sticky notes,,https://www.walmart.com/browse/office-supplies/sticky-notes/1229749_6562796_1044276
L3,Office Supplies,Paper,10 Ream Copy Paper,,https://www.walmart.com/browse/office-supplies/10-ream-copy-paper/1229749_6562796_7010615
L3,Office Supplies,Paper,"11"" x 17"" Paper",,https://www.walmart.com/browse/office-supplies/11-x-17-multipurpose-copy-paper/1229749_6562796_3866008
L3,Office Supplies,Paper,A4 Paper,,https://www.walmart.com/browse/office-supplies/a4-paper/1229749_6562796_9611676
L3,Office Supplies,Paper,Black Cardstock,,https://www.walmart.com/browse/office-supplies/black-cardstock/1229749_6562796_5773082
L3,Office Supplies,Paper,Black Paper,,https://www.walmart.com/browse/office-supplies/black-paper/1229749_6562796_8286348
L3,Office Supplies,Paper,Blank Paper,,https://www.walmart.com/browse/office-supplies/blank-paper/1229749_6562796_3909239
L3,Office Supplies,Paper,Carbon Paper,,https://www.walmart.com/browse/office-supplies/carbon-paper/1229749_6562796_6940918
L3,Office Supplies,Paper,Cardstock,,https://www.walmart.com/browse/office-supplies/cardstock/1229749_6562796_5537573
L3,Office Supplies,Paper,Certificates,,https://www.walmart.com/browse/office-supplies/certificates/1229749_6562796_5216310
L3,Office Supplies,Paper,Colored Paper,,https://www.walmart.com/browse/office-supplies/colored-paper/1229749_6562796_7380511
L3,Office Supplies,Paper,Graph Paper,,https://www.walmart.com/browse/office-supplies/graph-paper/1229749_6562796_3220513
L3,Office Supplies,Paper,Hammermill Paper,,https://www.walmart.com/browse/office-supplies/hammermill-paper/1229749_6562796_3149312
L3,Office Supplies,Paper,Index Cards,,https://www.walmart.com/browse/office-supplies/index-cards/1229749_6562796_8833558
L3,Office Supplies,Paper,Inkjet Printer Paper,,https://www.walmart.com/browse/office-supplies/inkjet-printer-paper/1229749_6562796_3031957
L3,Office Supplies,Paper,Kraft Paper,,https://www.walmart.com/browse/office-supplies/kraft-paper/1229749_6562796_4636601
L3,Office Supplies,Paper,Laser Printer Paper,,https://www.walmart.com/browse/office-supplies/laser-printer-paper/1229749_6562796_5743411
L3,Office Supplies,Paper,Notebook Paper,,https://www.walmart.com/browse/office-supplies/loose-leaf-filler-paper/1229749_6562796_4539149
L3,Office Supplies,Paper,Photo Paper,,https://www.walmart.com/browse/office-supplies/photo-paper/1229749_6562796_7181527
L3,Office Supplies,Paper,Printer Paper,,https://www.walmart.com/browse/office-supplies/printer-paper/1229749_6562796_2521430
L3,Office Supplies,Paper,Ream of Paper,,https://www.walmart.com/browse/office-supplies/ream-of-paper/1229749_6562796_9184886
L3,Office Supplies,Paper,Recycled Paper,,https://www.walmart.com/browse/office-supplies/recycled-paper/1229749_6562796_3226264
L3,Office Supplies,Paper,Resume & Business Stationary,,https://www.walmart.com/browse/office-supplies/resume-business-stationery/1229749_6562796_8049542
L3,Office Supplies,Paper,Textured Paper,,https://www.walmart.com/browse/office-supplies/textured-paper/1229749_6562796_3525468
L3,Office Supplies,Paper,White Cardstock,,https://www.walmart.com/browse/office-supplies/white-cardstock/1229749_6562796_8030716
L3,Office Supplies,Paper,Clear Sticky Notes,,https://www.walmart.com/browse/office-supplies/clear-sticky-notes/1229749_6562796_4972852
L3,Office Supplies,Paper,Post-It Notes,,https://www.walmart.com/browse/office-supplies/post-it-notes/1229749_6562796_1611215
L2,Office Supplies,Paper shredders,,,https://www.walmart.com/browse/office-supplies/paper-shredders/1229749_2155104
L3,Office Supplies,Paper shredders,Commercial Shredders,,https://www.walmart.com/browse/office-supplies/commercial-shredders/1229749_2155104_4555248
L3,Office Supplies,Paper shredders,Cross-Cut Shredders,,https://www.walmart.com/browse/office-supplies/cross-cut-shredders/1229749_2155104_3771526
L3,Office Supplies,Paper shredders,Home Shredders,,https://www.walmart.com/browse/office-supplies/home-shredders/1229749_2155104_7117582
L3,Office Supplies,Paper shredders,Micro-Cut Shredders,,https://www.walmart.com/browse/office-supplies/micro-cut-shredders/1229749_2155104_8985104
L3,Office Supplies,Paper shredders,Office Shredders,,https://www.walmart.com/browse/office-supplies/office-shredders/1229749_2155104_6158083
L3,Office Supplies,Paper shredders,Shredder Oil & Bags,,https://www.walmart.com/browse/office-supplies/shredder-oil/1229749_2155104_4665275
L3,Office Supplies,Paper shredders,Strip-Cut Shredders,,https://www.walmart.com/browse/office-supplies/strip-cut-shredders/1229749_2155104_3208493
L2,Office Supplies,Pens,,,https://www.walmart.com/browse/office-supplies/pens/1229749_1988510
L3,Office Supplies,Pens,Ballpoint Pens,,https://www.walmart.com/browse/office-supplies/ballpoint-pens/1229749_1988510_6110834
L3,Office Supplies,Pens,Calligraphy Pens,,https://www.walmart.com/browse/office-supplies/calligraphy-pens/1229749_1988510_5449091
L3,Office Supplies,Pens,Color Gel Pens,,https://www.walmart.com/browse/office-supplies/color-gel-pens/1229749_1988510_6856272
L3,Office Supplies,Pens,Counterfeit Pens,,https://www.walmart.com/browse/office-supplies/counterfeit-pens/1229749_1988510_5206342
L3,Office Supplies,Pens,Erasable Pens,,https://www.walmart.com/browse/office-supplies/erasable-pens/1229749_1988510_8716504
L3,Office Supplies,Pens,Felt Tip Pens,,https://www.walmart.com/browse/office-supplies/felt-tip-pens/1229749_1988510_9603975
L3,Office Supplies,Pens,Gel Pens,,https://www.walmart.com/browse/office-supplies/gel-pens/1229749_1988510_6068981
L3,Office Supplies,Pens,Glitter Gel Pens,,https://www.walmart.com/browse/office-supplies/glitter-gel-pens/1229749_1988510_2992554
L3,Office Supplies,Pens,Gold Pens,,https://www.walmart.com/browse/office-supplies/gold-pens/1229749_1988510_7838283
L3,Office Supplies,Pens,Hub Pen,,https://www.walmart.com/browse/office-supplies/hub-pen/1229749_1988510_1500624
L3,Office Supplies,Pens,Ink Bottles,,https://www.walmart.com/browse/office-supplies/ink-bottles/1229749_1988510_8850293
L3,Office Supplies,Pens,Muji Pens,,https://www.walmart.com/browse/office-supplies/muji-pens/1229749_1988510_6940184
L3,Office Supplies,Pens,Multi-color Pens,,https://www.walmart.com/browse/office-supplies/multi-color-pens/1229749_1988510_6053624
L3,Office Supplies,Pens,Paper Mate Pens,,https://www.walmart.com/browse/office-supplies/paper-mate-pens/1229749_1988510_4364488
L3,Office Supplies,Pens,Pen Grips,,https://www.walmart.com/browse/office-supplies/pen-grips/1229749_1988510_2581946
L3,Office Supplies,Pens,Pen Highlighters,,https://www.walmart.com/browse/office-supplies/pen-highlighters/1229749_1988510_1481723
L3,Office Supplies,Pens,Pen Refills,,https://www.walmart.com/browse/office-supplies/pen-refills/1229749_1988510_7333797
L3,Office Supplies,Pens,Pilot Pens,,https://www.walmart.com/browse/office-supplies/pilot-pens/1229749_1988510_8071588
L3,Office Supplies,Pens,Rollerball Pens,,https://www.walmart.com/browse/office-supplies/rollerball-pens/1229749_1988510_5277438
L3,Office Supplies,Pens,White Gel Pens,,https://www.walmart.com/browse/office-supplies/white-gel-pens/1229749_1988510_4995465
L3,Office Supplies,Pens,BIC Pens,,https://www.walmart.com/browse/office-supplies/bic-pens/1229749_1988510_6711846_6551929
L3,Office Supplies,Pens,Tul Pens,,https://www.walmart.com/browse/office-supplies/tul-pens/1229749_1988510_6711846_6238100
L2,Office Supplies,Office Supply Brands,,,https://www.walmart.com/browse/office-supplies/office-supplies-school-supplies-by-brand/1229749_1431586
L3,Office Supplies,Office Supply Brands,Pen+Gear,,https://www.walmart.com/browse/office-supplies/pen-gear/1229749_1431586_6267234
L3,Office Supplies,Office Supply Brands,Avery,,https://www.walmart.com/browse/office-supplies/avery/1229749_1431586_3601519
L3,Office Supplies,Office Supply Brands,The Happy Planner,,https://www.walmart.com/browse/office-supplies/the-happy-planner/1229749_1431586_9460855
L3,Office Supplies,Office Supply Brands,Bankers Box,,https://www.walmart.com/browse/office-supplies/bankers-box/1229749_1431586_5871286
L3,Office Supplies,Office Supply Brands,Shop All Elmers,,https://www.walmart.com/browse/office-supplies/elmer-s/1229749_1431586_8883644
L4,Office Supplies,Office Supply Brands,Shop All Elmers,Liquid Glue & School Glue,https://www.walmart.com/browse/office-supplies/elmers-school-glue/1229749_1431586_8883644_9677515
L3,Office Supplies,Office Supply Brands,Dymo,,https://www.walmart.com/browse/office-supplies/dymo/1229749_1431586_6335436
L3,Office Supplies,Office Supply Brands,Mead Notebooks,,https://www.walmart.com/browse/office-supplies/mead/1229749_1431586_8008987
L3,Office Supplies,Office Supply Brands,Fellowes Paper Shredders,,https://www.walmart.com/browse/office-supplies/fellowes-paper-shredders/1229749_1431586_2873910
L3,Office Supplies,Office Supply Brands,Zebra Pens,,https://www.walmart.com/browse/office-supplies/zebra/1229749_1431586_7280042
L3,Office Supplies,Office Supply Brands,Scotch Tape,,https://www.walmart.com/browse/office-supplies/scotch/1229749_1431586_2481122
L3,Office Supplies,Office Supply Brands,Sharpie Pens,,https://www.walmart.com/browse/office-supplies/sharpie-pens/1229749_1431586_4638364_8964237
L2,Office Supplies,Shop now,,,https://www.walmart.com/browse/office-supplies/small-business-center/1229749_8511976
L2,Office Supplies,Bulletin boards,,,https://www.walmart.com/browse/bulletin-boards-cork-boards-letter-boards/1229749_1716880
L2,Office Supplies,Calculators,,,https://www.walmart.com/browse/office-supplies/calculators/1229749_1479667
L2,Office Supplies,Staplers,,,https://www.walmart.com/browse/office-supplies/whiteboards/1229749_1565348_4161504
L2,Office Supplies,Desk organizers,,,https://www.walmart.com/browse/desk-workspace-organizers/1229749_7431192
L3,Office Supplies,Desk organizers,Desk Organizers,,https://www.walmart.com/browse/office-supplies/desktop-organizers/1229749_7431192_1072373
L3,Office Supplies,Desk organizers,Bookends,,https://www.walmart.com/browse/office-supplies/bookends/1229749_7431192_6847609
L3,Office Supplies,Desk organizers,Business Card Holders & Name Plates,,https://www.walmart.com/browse/office-supplies/business-card-holders-name-plates/1229749_7431192_4674813
L3,Office Supplies,Desk organizers,File Organizers,,https://www.walmart.com/browse/office-supplies/file-organizers/1229749_7431192_3406177
L3,Office Supplies,Desk organizers,Letter Trays,,https://www.walmart.com/browse/office-supplies/letter-trays/1229749_7431192_2346156
L3,Office Supplies,Desk organizers,Magazine Holders,,https://www.walmart.com/browse/office-supplies/magazine-holders/1229749_7431192_7061047
L3,Office Supplies,Desk organizers,Paper Organizers,,https://www.walmart.com/browse/office-supplies/paper-organizers/1229749_7431192_2407655
L3,Office Supplies,Desk organizers,Paper Weights,,https://www.walmart.com/browse/office-supplies/paper-weights/1229749_7431192_7938104
L3,Office Supplies,Desk organizers,Pencil Holders & Pencil Cups,,https://www.walmart.com/browse/office-supplies/pencil-holders-and-pencil-cups/1229749_7431192_2253956
L3,Office Supplies,Desk organizers,Vaultz Pencil Boxes,,https://www.walmart.com/browse/office-supplies/vaultz-pencil-boxes/1229749_7431192_8044051
L3,Office Supplies,Desk organizers,Zipit Pencil Pouches,,https://www.walmart.com/browse/office-supplies/zipit-pencil-pouches/1229749_7431192_8920555
L2,Office Supplies,Envelopes & mailing supplies,,,https://www.walmart.com/browse/envelopes-mailing-supplies/1229749_9785239
L3,Office Supplies,Envelopes & mailing supplies,Letter Openers,,https://www.walmart.com/browse/office-supplies/letter-openers/1229749_9785239_7483918
L3,Office Supplies,Envelopes & mailing supplies,Mailers,,https://www.walmart.com/browse/office-supplies/mailers/1229749_9785239_2184248
L4,Office Supplies,Envelopes & mailing supplies,Mailers,Bubble Mailers,https://www.walmart.com/browse/office-supplies/bubble-mailers/1229749_9785239_2184248_9629528
L4,Office Supplies,Envelopes & mailing supplies,Mailers,Poly Mailers,https://www.walmart.com/browse/office-supplies/poly-mailers/1229749_9785239_2184248_5598220
L3,Office Supplies,Envelopes & mailing supplies,Postage Stamps,,https://www.walmart.com/browse/office-supplies/usps-postage-stamps/1229749_9785239_6001033
L2,Office Supplies,Envelopes,,,https://www.walmart.com/browse/office-supplies/envelopes/1229749_6318396
L3,Office Supplies,Envelopes,Manila Envelopes,,https://www.walmart.com/browse/office-supplies/manila-envelopes/1229749_6318396_7232063
L2,Office Supplies,Scissors,,,https://www.walmart.com/browse/office-supplies/adult-scissors/1229749_2752789_6778521
L2,Office Supplies,Desk tape,,,https://www.walmart.com/browse/office-supplies/desk-adhesive-tape/1229749_7234959_9155193
L2,Office Supplies,Adhesive Removers,,,https://www.walmart.com/browse/office-supplies/adhesive-removers/1229749_3486814_3221000
L2,Office Supplies,Glue Sticks,,,https://www.walmart.com/browse/office-supplies/glue-sticks/1229749_3486814_3887891
L2,Office Supplies,Specialty Glue,,,https://www.walmart.com/browse/office-supplies/specialty-glue/1229749_3486814_5730838
L2,Office Supplies,Sticky Tack,,,https://www.walmart.com/browse/office-supplies/sticky-tack/1229749_3486814_5937472
L2,Office Supplies,5 Year Journal,,,https://www.walmart.com/browse/office-supplies/5-year-journal/1229749_4922227_3919036
L2,Office Supplies,Bullet Journals,,,https://www.walmart.com/browse/office-supplies/bullet-journals/1229749_4922227_6519909
L2,Office Supplies,Daily Journals,,,https://www.walmart.com/browse/office-supplies/daily-journals/1229749_4922227_1457342
L2,Office Supplies,Dotted Journals,,,https://www.walmart.com/browse/office-supplies/dotted-journals/1229749_4922227_8666917
L2,Office Supplies,Dream Journals,,,https://www.walmart.com/browse/office-supplies/dream-journals/1229749_4922227_3798846
L2,Office Supplies,Fitness Journals,,,https://www.walmart.com/browse/office-supplies/fitness-journals/1229749_4922227_7126892
L2,Office Supplies,Food Journals,,,https://www.walmart.com/browse/office-supplies/food-journals/1229749_4922227_3236670
L2,Office Supplies,Gratitude Journals,,,https://www.walmart.com/browse/office-supplies/gratitude-journals/1229749_4922227_3362152
L2,Office Supplies,Idea Journals,,,https://www.walmart.com/browse/office-supplies/idea-journals/1229749_4922227_9816845
L2,Office Supplies,Journals with Prompts,,,https://www.walmart.com/browse/office-supplies/journals-with-prompts/1229749_4922227_6728115
L2,Office Supplies,Leather Journals,,,https://www.walmart.com/browse/office-supplies/leather-journals/1229749_4922227_2633427
L2,Office Supplies,Locking Journals,,,https://www.walmart.com/browse/office-supplies/locking-journals/1229749_4922227_9286603
L2,Office Supplies,One Line A Day Journal,,,https://www.walmart.com/browse/office-supplies/one-line-a-day-journal/1229749_4922227_4770193
L2,Office Supplies,Padfolios,,,https://www.walmart.com/browse/office-supplies/padfolios/1229749_4922227_2715430
L2,Office Supplies,Password Journals,,,https://www.walmart.com/browse/office-supplies/password-journals/1229749_4922227_5468501
L2,Office Supplies,Premium Journals,,,https://www.walmart.com/browse/office-supplies/premium-journals/1229749_4922227_8418699
L2,Office Supplies,Travel Journals,,,https://www.walmart.com/browse/office-supplies/travel-journals/1229749_4922227_8803078
L2,Office Supplies,Weight Loss Journals,,,https://www.walmart.com/browse/office-supplies/weight-loss-journals/1229749_4922227_8868268
L2,Office Supplies,Wellness Journal,,,https://www.walmart.com/browse/office-supplies/wellness-journal/1229749_4922227_5071265
L2,Office Supplies,Writing Journals,,,https://www.walmart.com/browse/office-supplies/writing-journals/1229749_4922227_5635035
L2,Office Supplies,Binder Clips,,,https://www.walmart.com/browse/office-supplies/binder-clips/1229749_3417460_4756307
L2,Office Supplies,Brads,,,https://www.walmart.com/browse/office-supplies/brads/1229749_3417460_9451427
L2,Office Supplies,Clipboards,,,https://www.walmart.com/browse/office-supplies/clipboards/1229749_2447475_9346256
L2,Office Supplies,Compasses & Protractors,,,https://www.walmart.com/browse/office-supplies/compasses-protractors/1229749_2994760_6027985
L2,Office Supplies,Magnets,,,https://www.walmart.com/browse/office-supplies/magnets/1229749_3417460_7835039
L2,Office Supplies,Thumbtacks & Push Pins,,,https://www.walmart.com/browse/office-supplies/thumb-tacks-push-pins/1229749_3417460_2583769
L2,Office Supplies,Rulers,,,https://www.walmart.com/browse/office-supplies/rulers/1229749_2994760_4207082
L2,Office Supplies,Brady Label Makers & Labels,,,https://www.walmart.com/browse/office-supplies/brady-label-makers-labels/1229749_4339346_4295105
L2,Office Supplies,Brother Label Makers,,,https://www.walmart.com/browse/office-supplies/brother-label-makers/1229749_4339346_7896704
L2,Office Supplies,File Folder Labels,,,https://www.walmart.com/browse/office-supplies/label-maker-tape-refills/1229749_4339346_9332220
L2,Office Supplies,Label Makers,,,https://www.walmart.com/browse/office-supplies/label-makers/1229749_4339346_5500982
L2,Office Supplies,Laminators,,,https://www.walmart.com/browse/office-supplies/laminators/1229749_4993133_1085032
